url	primary language	files	sloc
https://github.com/parkerbennett/stackicons	CSS	41	86042
https://github.com/sk89q/WorldEdit	Java	779	67454
https://github.com/metabrainz/picard	Python	169	29004
https://github.com/andreasgal/B2G	Shell	41	3363
https://github.com/wet-boew/wet-boew	HTML	666	101279
https://github.com/seriesseed/equity		7	444
https://github.com/GSA/data.gov	PHP	218	28402
https://github.com/FascinatedBox/lily	C	97	19064
https://github.com/gamelinux/passivedns	C	11	4017
https://github.com/Keyamoon/IcoMoon-Free	HTML	9	35331
https://github.com/spmjs/spm	JavaScript	53	5629
https://github.com/charliesome/jsos	C	121	14986
https://github.com/iamcal/php-emoji	PHP	19	12055
https://github.com/nikolaypavlov/MLPNeuralNet	Objective-C	7	664
https://github.com/KnightOS/KnightOS	Assembly	5	395
https://github.com/libgit2/objective-git	Objective-C	165	10904
https://github.com/atom/apm	CoffeeScript	162	10183
https://github.com/twitter/innovators-patent-agreement		4	91
https://github.com/gamelab/kiwi.js	JavaScript	413	307983
https://github.com/Squirrel/Squirrel.Mac	Objective-C	69	3758
https://github.com/simbody/simbody	C++	948	269463
https://github.com/sleuthkit/sleuthkit	C	676	264645
https://github.com/Microsoft/microsoft.github.io	HTML	6	146
https://github.com/usds/playbook	CSS	117	3649
https://github.com/mozilla/mig	Go	1848	748632
https://github.com/datumbox/datumbox-framework	Java	304	23069
https://github.com/medialize/ally.js	JavaScript	510	207705
https://github.com/pybuilder/pybuilder	Python	154	13556
https://github.com/rakudo/rakudo	Perl6	110	11745
https://github.com/clutchski/coffeelint	CoffeeScript	131	7331
https://github.com/pengwynn/flint	Go	23	8717
https://github.com/Komodo/KomodoEdit	Python	3258	985989
https://github.com/etsy/MIDAS		4	273
https://github.com/Justineo/github-hovercard	JavaScript	71	28692
https://github.com/swannodette/logic-tutorial	Clojure	9	390
https://github.com/pfefferle/openwebicons	HTML	36	7001
https://github.com/mrowa44/emojify	Shell	4	74
https://github.com/pa11y/pa11y	JavaScript	72	4977
https://github.com/nasa/mct	Java	1366	131613
https://github.com/CarlosGS/Cyclone-PCB-Factory	Python	125	19456
https://github.com/mislav/rfc	JavaScript	19	3106
https://github.com/MfgLabs/mfglabs-iconset	CSS	7	1018
https://github.com/thenewstack/docker-and-containers-ebooks		9	332
https://github.com/voxmedia/meme	JavaScript	21	9532
https://github.com/nsubstitute/NSubstitute	C#	431	164454
https://github.com/theleagueof/league-gothic	CSS	6	334
